Garden Latitude,Garden Longitude,Kind,fracDate Collected,Country
42.30758843,-71.12096343,magnolia,,
42.29717671,-71.12932217,larch,,Czechoslovakia
42.29976047,-71.11946227,pear,1919.49863014,Japan
42.29678176,-71.12573305,hemlock,,
42.29639992,-71.12560593,hemlock,,
42.29641365,-71.12560955,hemlock,,
42.29762975,-71.12683761,spruce,,
42.29679304,-71.12582539,hemlock,,
42.29588329,-71.12896146,mountain-ash,,
42.29666859,-71.12712625,,,
42.29506963,-71.12457466,pear,1919.49863014,Japan
42.29635335,-71.12563208,hemlock,,
42.30182907,-71.12262059,hackberry,,
42.29703744,-71.12834459,larch,,
42.30433784,-71.12263657,linden,,
42.29308016,-71.12816358,,,
42.29297355,-71.12796128,pear,1919.49863014,Japan
42.3021306,-71.11917702,cherry,1915.49863014,Japan
42.3006678,-71.1251081,oak,1985.78630137,United States
42.29508957,-71.12281902,oak,,
42.29618038,-71.12560353,hemlock,,
42.29799364,-71.12390465,juniper,,
42.29630081,-71.12550672,hemlock,,
42.29687903,-71.1261095,hemlock,,
42.29790815,-71.12935539,magnolia,,
42.30058428,-71.124768,oak,1985.78630137,United States
42.29632007,-71.12552508,hemlock,,
42.30050993,-71.12698676,wingnut,,
42.30212564,-71.11732676,cherry,1977.68219178,Japan
42.3022344,-71.12056641,coffeetree,,
42.30212846,-71.1173926,cherry,1977.68219178,Japan
42.29808792,-71.12443131,cedar,,
42.299957,-71.1241292,oak,1985.78630137,United States
42.29671834,-71.12563732,hemlock,,
42.2989802,-71.12309682,oak,1985.78630137,United States
42.29862825,-71.12847368,larch,,
42.30055208,-71.12336359,spruce,1976.5,United States
42.29314534,-71.12799352,,,
42.29876666,-71.12776684,cryptomeria,,Japan
42.30137187,-71.12539567,walnut,,
42.30121752,-71.12539658,walnut,,
42.30112744,-71.12540461,walnut,,
42.29718456,-71.12639971,hemlock,,
42.30353612,-71.12157929,horsechestnut,,
42.2966303,-71.12556761,hemlock,,
42.29716786,-71.12632588,hemlock,,
42.2967382,-71.1258405,hemlock,,
42.30146717,-71.11720322,pine,,
42.30065499,-71.12527772,oak,,Canada
42.29712348,-71.12872505,fir,,
42.29946045,-71.12159517,false-arborvitae,,
42.29943103,-71.12165084,false-arborvitae,,
42.29788795,-71.12583003,pine,2000.5,United States
42.30633745,-71.12145574,katsura,1999.89863014,China
42.30076007,-71.12050938,,2008.72404372,China
42.30052066,-71.1271624,wingnut,,
42.29392971,-71.1249187,hawthorn,,United States
42.29989645,-71.12414786,oak,1985.78630137,United States
42.29932249,-71.12425406,oak,,United States
42.29679612,-71.12592887,hemlock,,
42.2968018,-71.12598798,hemlock,,
42.29707975,-71.12623399,hemlock,,
42.2972252,-71.12623683,hemlock,,
42.29715132,-71.1263038,hemlock,,
42.30388171,-71.12019927,maple,1984.78142077,United States
