fracDate Collected,Collector,Kind
2002.7890411,"Montgomery, M.",hemlock
,,
2008.5,"Pettersson, H., Sj÷man, H., Zetterlund, H.",katsura
,,larch
,,pine
1997.71506849,NACPEC '97,pine
1908.5,"Wilson, E. H.",oak
,"Li, Minghe",redwood
,"Meyer, F. N.",walnut
,,
,,
,,
,"Li, Minghe",redwood
,,spruce
,,fir
,,spruce
1994.70136986,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",ash
,,spruce
,Unknown,song
,"Spongberg, S.A.",magnolia
1993.70958904,"Jin, Tieshan, Liu, Jun, K. Bachtell, P. Bristol, P. Meyer",
2002.70958904,"Del Tredici, P. and Li, J.",maidenhair-tree
,,spruce
2002.70410959,"Del Tredici, P. and Li, J.",maidenhair-tree
,,
,"Sargent, C. S.",crabapple
,,pine
,,pine
2002.7890411,"Montgomery, M.",hemlock
2002.7890411,"Montgomery, M.",hemlock
,,
2002.7890411,"Montgomery, M.",hemlock
2002.7890411,"Montgomery, M.",hemlock
,,
,,
2002.7369863,"Del Tredici, P. and Li, J.",
,,dogwood
,,dogwood
1997.68767123,NACPEC '97,walnut
,,larch
2002.7890411,"Montgomery, M.",hemlock
2002.7890411,"Montgomery, M.",hemlock
1997.68219178,NACPEC '97 Changbaishan Expedition,spruce
,,
,,tree
1993.7260274,"Jin, Tieshan, Jun, Bachtell, Bristol, Meyer",pine
,,
,,spruce
,,spruce
,,gum
,,tree
2002.70958904,"Del Tredici, P. and Li, J.",maidenhair-tree
,Unknown,song
1932.70765027,"Rock, J. F.",crabapple
2002.70410959,"Del Tredici, P. and Li, J.",maidenhair-tree
,,spruce
,,spruce
2002.70410959,"Del Tredici, P. and Li, J.",maidenhair-tree
2002.70410959,"Del Tredici, P. and Li, J.",maidenhair-tree
2002.70410959,"Del Tredici, P. and Li, J.",maidenhair-tree
,"Li, Minghe",redwood
,,
2002.70410959,"Del Tredici, P. and Li, J.",maidenhair-tree
,,spruce
,,spruce
1897.49863014,"Farges, Pere Paul Guillaume",tree
,"Cheng, W.C.",redwood
,"Cheng, W.C.",redwood
,"Cheng, W.C.",redwood
,"Cheng, W.C.",redwood
1993.70958904,"Jin, Tieshan, Liu, Jun, K. Bachtell, P. Bristol, P. Meyer",
1993.7260274,"Jin, Tieshan, Jun, Bachtell, Bristol, Meyer",pine
1993.7260274,"Jin, Tieshan, Jun, Bachtell, Bristol, Meyer",pine
1992.5,,
2002.70958904,"Bristol, P., Bordelon, C., Bachtell, K., Aiello, T.",maple
1993.70958904,"Jin, Tieshan, Liu, Jun, K. Bachtell, P. Bristol, P. Meyer",
,,zelkova
1911.49863014,"Wilson, E. H.",beech
1911.49863014,"Wilson, E. H.",beech
1907.49863014,"Wilson, E. H.",
1910.8739726,"Wilson, E. H.",elm
1930.87945205,"Dorsett, P.H., Morse, W.J.",hackberry
1988.77595628,"Wharton, P., Bristol., P., Lee, L.",
1994.74246575,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",
1988.77595628,"Wharton, P., Bristol., P., Lee, L.",
1932.70765027,"Rock, J. F.",crabapple
1932.70765027,"Rock, J. F.",crabapple
,,catalpa
,,catalpa
,"Cheng, W.C.",redwood
,"Cheng, W.C.",redwood
,"Cheng, W.C.",redwood
,"Cheng, W.C.",redwood
,"Cheng, W.C.",redwood
,"Chung, H. H.",maidenhair-tree
,,ash
,,
1980.73770492,1980 S.A.B.E.,glorybower
1910.8739726,"Wilson, E. H.",elm
,Spongberg & Bell,
,"Hers, J.",chestnut
,"Hers, J.",chestnut
1921.49863014,Forrest,ash
,"Hers, J.",ash
2010.74520548,"Aiello, A. S., Dosmann, M., Wang, K.",ash
1908.5,"Wilson, E. H.",
2010.72328767,"Aiello, A. S., Dosmann, M., Wang, K.",
2010.72328767,"Aiello, A. S., Dosmann, M., Wang, K.",
1911.49863014,"Wilson, E. H.",spruce
1911.49863014,"Wilson, E. H.",spruce
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
2010.72328767,"Aiello, A. S., Dosmann, M., Wang, K.",
1910.49863014,"Wilson, E. H.",elm
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
2010.74246575,"Aiello, A. S., Dosmann, M., Wang, K.",linden
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,Spongberg & Bell,
,"Li, Minghe",redwood
,"Li, Minghe",redwood
1992.75136612,Chung-Kuo Li,pine
1992.75136612,Chung-Kuo Li,pine
1992.75136612,Chung-Kuo Li,pine
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
2010.72054795,"Aiello, A. S., Dosmann, M., Wang, K.",
,Spongberg & Bell,
2010.72328767,"Aiello, A. S., Dosmann, M., Wang, K.",
,"Li, Minghe",redwood
1911.49863014,"Wilson, E. H.",spruce
1910.49863014,"Wilson, E. H.",elm
,"Hers, J.",
,"Li, Minghe",redwood
2010.74520548,"Aiello, A. S., Dosmann, M., Wang, K.",ash
1911.49863014,"Wilson, E. H.",spruce
2010.72876712,"Aiello, A. S., Dosmann, M., Wang, K.",maple
2010.72876712,"Aiello, A. S., Dosmann, M., Wang, K.",maple
1911.49863014,"Wilson, E. H.",spruce
1994.70684932,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",oak
1994.72054795,NACPEC '94,maple
1994.72054795,NACPEC '94,maple
1926.66027397,"Rock, J. F.",plum
2010.72328767,"Aiello, A. S., Dosmann, M., Wang, K.",
2010.7369863,"Aiello, A. S., Dosmann, M., Wang, K.",
2010.7369863,"Aiello, A. S., Dosmann, M., Wang, K.",
,,
1911.49863014,"Wilson, E. H.",spruce
2010.72876712,"Aiello, A. S., Dosmann, M., Wang, K.",
,"Li, Minghe",redwood
1978.21917808,Long Wu Lu,
,"Li, Minghe",redwood
2010.7369863,"Aiello, A. S., Dosmann, M., Wang, K.",
2010.7369863,"Aiello, A. S., Dosmann, M., Wang, K.",
2010.7369863,"Aiello, A. S., Dosmann, M., Wang, K.",
,,
1994.72054795,"Bachtell, K., Garvey, E., Lewandowski, R., Tubesing, C.",
,"Li, Minghe",redwood
1994.73150685,NACPEC '94,
,"Li, Minghe",redwood
,"Rock, J.",tree
2008.72677596,"Bachtell, K.; Aiello, A.; Carley, C.; Wang.; Li",
1994.69863014,NACPEC '94,catalpa
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
1992.75136612,Chung-Kuo Li,pine
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
1992.75136612,Chung-Kuo Li,pine
1992.75136612,Chung-Kuo Li,pine
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
,"Li, Minghe",redwood
1908.5,"Wilson, E. H.",nashi
,"Li, Minghe",redwood
,"Li, Minghe",redwood
