fracDate Collected,Collector,Kind
2012.81147541,"Dosmann, M.S., Aiello, A.S.",oak
,"Dilatush, T.",cedar
,"Dilatush, T.",cedar
,"Weaver, R. E.",magnolia
2012.98907104,,catalpa
,"Laney, C.C.",
,,hawthorn
,,tree
,,oak
,"Dawson, J. T.",birch
,"Dawson, J. T.",birch
,"Del Tredici, P.",sequoia
2009.6630137,"Johnston, J.",buckeye
,"Sargent, C. S.",hawthorn
,,cedar
,,oak
,"Chase, V. H.",
1991.80273973,"Del Tredici, P.",cypress
1991.80273973,"Del Tredici, P.",cypress
1991.80273973,"Del Tredici, P.",cypress
,"Faxon, C. E., Dawson, J. T.",hickory
,"Faxon, C. E., Dawson, J. T.",hickory
,,maple
,"Faxon, C. E., Dawson, J. T.",hickory
1981.70684932,"Koller, G. L. and Weaver, R. E.",cypress
,,fir
,"Harbison, T. G.",horsechestnut
1961.49863014,"Radebaugh, G. D. Jr.",hemlock
1986.8,"Nicholson, R.",yellow-wood
2012.98907104,,catalpa
,"Koller, G. L. and Weaver, R. E.",cypress
,"Voss, F.",chestnut
,,oak
,"Koller, G. L. and Weaver, R. E.",cypress
,"Koller, G. L. and Weaver, R. E.",cypress
,,hickory
,"Goldman, D.",oak
,,oak
2012.98907104,,catalpa
2002.66849315,"McNamara, W.",pine
,"Del Tredici, P.",maple
2002.66849315,"McNamara, W.",pine
,,oak
,,cottonwood
2009.77808219,"Dosmann, M.",ash
,"Del Tredici, P.",hemlock
,"Palmer, E. J.",plum
1995.74794521,"Ward, Tom",redbud
1995.74794521,"Ward, Tom",redbud
,,elm
,"Johnston, J.",magnolia
2008.76775956,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",maple
1986.8,"Nicholson, R.",yellow-wood
1995.70684932,"Bell, Andrew",redbud
2008.76775956,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",birch
,"Palmer, E. J.",
2002.66849315,"McNamara, W.",pine
2003.65753425,"Kelley, S., Lusk, V.",maple
2002.66849315,"McNamara, W.",pine
,"Palmer, E. J.",pine
2002.66849315,"McNamara, W.",pine
2006.29589041,"Goldman, D.",pine
2003.65753425,"Kelley, S., Woods, G., Cobb, R., Lusk, V.",maple
,,buckeye
,,buckeye
2008.76775956,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",
,"Harbison, T. G.",chestnut
,"Daugherty, Ray",maple
,"Jack, J. G.",birch
,"Jack, J. G.",birch
,"Dunbar, J.",
2008.7704918,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",birch
,"Gates, G.",oak
,"Kellogg, J. H.",hawthorn
2008.77322404,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",basswood
2003.64931507,"Kelley, S., Wood, G.",maple
,"Gruber, C. L.",hawthorn
,"Johnston, J.",magnolia
,"Johnston, J.",magnolia
2008.77322404,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",cherry
2008.76775956,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",birch
2008.77322404,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",sumac
2008.76775956,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",maple
1995.74794521,"Ward, Tom",redbud
,"Johnston, J.",magnolia
,"Johnston, J.",magnolia
,"Johnston, J.",magnolia
,"Palmer, E.J.",honeylocust
2003.65205479,"Kelley, S., Wood, G., Cobb, R., Lusk, V.",linden
1993.56164384,"Del Tredici, P.",fir
2008.76775956,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",birch
2008.76775956,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",maple
,"Harbison, T. G.",chestnut
2008.76775956,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",birch
,,maple
,"Watson, Sereno",cedar
,"Del Tredici, P.",cypress
,"Faxon, C.E.",oak
,"Faxon, C.E.",oak
1922.23561644,,catalpa
,,birch
,,birch
,,birch
,G.W. Letterman,ash
,"Watson, Sereno",cedar
,"Watson, Sereno",cedar
2008.7704918,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",hemlock
,"Bush, B.F.",hawthorn
2000.43989071,,juniper
2008.7704918,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",hop-hornbeam
2008.7704918,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",hop-hornbeam
,"Case, L. C.",pine
,"Gates, G.",oak
,,ash
,,ash
,"Letterman, G. W.",hawthorn
2008.7704918,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",birch
,"Sargent, C. S.",hickory
2008.77322404,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",sumac
1908.73224044,"Kellogg, J. H.",hawthorn
1998.79178082,,sourwood
,"Johnston, J.",buckeye
,"Johnston, J.",buckeye
,"Johnston, J.",buckeye
1993.77808219,"Del Tredici, P.",maple
1993.77808219,"Del Tredici, P.",maple
,,oak
1993.56164384,"Del Tredici, P.",fir
2010.75890411,"Carstens, J., Schmitz, A.",pecan
2010.75890411,"Carstens, J., Schmitz, A.",pecan
2008.77322404,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",sumac
1993.56164384,"Del Tredici, P.",spruce
,,oak
,"Watson, Sereno",cedar
,"Wagenknecht, B.",silverbell
1993.56164384,"Del Tredici, P.",fir
,"Watson, Sereno",cedar
,"Watson, Sereno",cedar
,"Jennings, O. E.",hawthorn
,,maple
,"Del Tredici, P.",cypress
,"Del Tredici, P.",cypress
,,soapberry
,"Del Tredici, P.",birch
,"Canby, W. M.",hawthorn
,"Del Tredici, P.",birch
,"Palmer, E. J.",hawthorn
,,redbud
,,redbud
1981.69041096,"Nicholson, R.",fir
1985.8109589,"Nicholson, R.",spruce
,"Cover, S.",cucumbertree
,"Hager, F.",walnut
,"Nicholson, R.",spruce
,,redbud
1996.57377049,"Medbury, J. McBride and S. Kloss",cypress
,,cedar
1985.81917808,"Nicholson, R. and Hay, I.",persimmon
,,spruce
,,spruce
1993.77808219,"Del Tredici, P.",maple
2010.75890411,"Carstens, J., Schmitz, A.",pecan
,,oak
,,oak
1991.66575342,,hickory
2010.75890411,"Carstens, J., Schmitz, A.",pecan
1986.76986301,"Rogers, G.",oak
1987.76438356,"Nicholson, R.",cedar
2010.75890411,"Carstens, J., Schmitz, A.",pecan
,"Bush, B. F.",buckeye
2010.75890411,"Carstens, J., Schmitz, A.",pecan
,"Eggert, H.",hawthorn
,"Eggert, H.",hawthorn
,"Kase, J.",oak
,,cypress
,,cypress
,,cypress
,"Palmer, E. J.",basswood
,,beech
1987.63561644,"Del Tredici, P.",cypress
,"Slavin, B. H.",hawthorn
,"Sperling, C.",
,"Lord Howick & McNamara, W.A.",spruce
,"Palmer, E. J.",basswood
,Rogers George,oak
,"Del Tredici, P.",heaven
1912.7704918,"Bush, B. F.",hickory
,,hickory
,"Deam, C. C.",ash
1993.8,"Ward, T.",hemlock
,"Dawson, J. T.",yellow-poplar
1987.76712329,"Nicholson, R.",cucumbertree
2009.78082192,"Del Tredici, P.",hemlock
,"Rogers, George",oak
,"Schumacher, F.W.",oak
,"Palmer, E. J.",
1993.72328767,"Lord Howick & McNamara, W.A.",tuck-tuck
1993.72328767,"Lord Howick & McNamara, W.A.",tuck-tuck
1986.78356164,"Elsik, I.S.",oak
,"Kase, J.",oak
1987.63561644,"Del Tredici, P.",cypress
2011.49863014,"Sundling, D., Brody, B.",oak
,"Harbison, T. G.",oak
,"Harbison, T. G.",oak
,"Harbison, T. G.",oak
,,hornbeam
1987.61643836,"Del Tredici, P.",fir
,,yellow-poplar
1975.71506849,,
,"Dawson, J. T.",yellow-poplar
1987.75342466,"Rogers, G.",pecan
1912.5,"Bush, B. F., Sargent, C. S.",crabapple
,,dogwood
1911.70958904,"Slavin, B. H.",hickory
,"Rogers, George",persimmon
,"Rogers, George",oak
,"Rogers, George",persimmon
,"Rogers, George",persimmon
,"Rogers, George",oak
,"Rogers, George",oak
,,hickory
,"Rogers, George",oak
,"Rogers, George",hickory
,"Jack, J. G.",poplar
,"Jack, J. G.",poplar
,"Rogers, George",oak
2007.64657534,,cherry
2007.64657534,,cherry
,"Rogers, George",hickory
,"Rogers, George",hickory
,"Lance, Ron",
,"Croizat, L.",elm
1945.49863014,"Abbott, F. L.",hemlock
1979.70136986,"Weaver, R. E., Nickerson, J.",buckeye
,"Schumacher, F.W.",oak
1900.04109589,"Jack, J. G.",hawthorn
2006.70684932,,fir
,,hemlock
2007.72054795,,sumac
1979.71232877,"Weaver, R. E. and Nickerson, J.",magnolia
1979.69315068,"Weaver, R. E., Nickerson, J.",tupelo
,,cedar
1885.75068493,"Dawson, J. T.",beech
2000.48907104,"Ward, T.",
1979.70136986,"Weaver, R. E. and Nickerson, J.",magnolia
,G.W. Letterman,ash
,G.W. Letterman,ash
1987.83561644,"Dilatush, Tom",tupelo
2000.5,,pine
,"Croizat, L.",(lime)
2000.5,,pine
2000.5,,pine
,"Parry, C. C.",spruce
,"Parry, C. C.",spruce
